Number ID,Locus ID,Gold Standard,ETR1-dependent,,
195,254952_4G10955_4G10960,n,n,,
196,254998_4G09760,n,n,,
197,255039_4G09570,n,n,,
198,255104_4G08685,n,n,,
199,255221_4G05150,n,n,,
200,255259_4G05020,n,n,,
201,255264_4G05170,n,n,,
202,255348_4G03820,n,n,,
203,255365_4G04040,n,n,,
204,255413_4G03140,Y,Y,,
205,255462_4G02940,n,n,,
206,255528_4G02090,n,Y,,
207,255538_4G01680,n,n,,
208,255595_4G01700,n,n,,
209,255702_4G00230,n,n,,
210,255713_s_4G00290_4G00234,n,n,,
211,255726_1G25530,Y,Y,,
212,255742_1G25560,Y,n,,
213,255876_2G40480,n,n,,
214,255903_1G17950,n,n,,
215,255959_1G21980,n,n,,
216,256022_1G58360,n,n,,
217,256025_1G58370,n,n,,
218,256053_1G07260,n,n,,
219,256097_1G13670,n,n,,
220,256170_1G51790,n,n,,
221,256192_1G30110,n,n,,
222,256225_1G56220,n,n,,
223,256251_3G11330,n,n,,
224,256324_1G66760,n,n,,
225,256415_3G11210,Y,n,,
226,256453_1G75270,n,n,,
227,256454_1G75280,n,n,,
228,256508_1G75140,n,n,,
229,256547_3G14840,n,n,,
230,256681_3G52340,Y,n,,
231,256720_2G34140,n,n,,
232,256759_3G25640,n,n,,
233,256968_3G21070,n,Y,,
234,257026_3G19200,Y,Y,,
235,257083_s_3G20600_3G20590,n,n,,
236,257151_3G27200,n,n,,
237,257154_3G27210,n,Y,,
238,257197_3G23800,n,n,,
239,257381_2G37950,n,n,,
240,257517_3G16330,n,n,,
241,257600_3G24770,n,n,,
242,257650_3G16800,n,n,,
243,257718_3G18400,n,n,,
244,257722_3G18490,n,n,,
245,257757_3G18660,n,n,,
246,257766_3G23030,Y,n,,
247,257769_3G23050,n,n,,
248,257824_3G25290,n,n,,
249,257896_3G16920,n,n,,
250,257922_3G23150,Y,n,,
251,258064_3G14680,n,n,,
252,258184_3G21510,Y,n,,
253,258253_3G26760,Y,n,,
254,258287_3G15990,n,n,,
255,258321_3G22840,n,n,,
256,258323_3G22750,Y,n,,
257,258528_3G06770,n,n,,
258,258609_3G02910,n,n,,
259,258610_3G02875,n,n,,
260,258623_3G02790,n,n,,
261,258625_3G04370,n,n,,
262,258646_3G08040,n,n,,
263,258651_3G09920,n,n,,
264,258679_3G08590,n,n,,
265,258727_3G11930,n,n,,
266,258735_3G05880,n,n,,
267,258736_3G05900,Y,Y,,
268,258757_3G10912_3G10910,n,n,,
269,258791_3G04720,n,n,,
270,258811_3G03990,n,n,,
271,258879_3G03270,n,n,,
272,259143_3G10190,n,n,,
273,259221_s_3G03530_3G03540,n,Y,,
274,259291_3G11550,n,n,,
275,259302_3G05120,n,n,,
276,259379_3G16350,n,n,,
277,259383_3G16470,n,n,,
278,259421_1G13910,n,n,,
279,259430_1G01610,n,n,,
280,259445_1G02400,n,n,,
281,259548_1G35260,n,n,,
282,259624_1G43020,n,n,,
283,259655_1G55210,Y,Y,,
284,259661_1G55265,n,n,,
285,259664_1G55330,Y,n,,
286,259688_1G63120,n,n,,
287,259801_1G72230,Y,n,,
288,259857_1G68430,n,n,,
289,260039_1G68795,n,n,,
290,260074_1G73640,n,n,,
291,260144_1G71960,n,n,,
292,260156_1G52880,Y,n,,
293,260190_1G67560,n,n,,
294,260236_1G74470,n,n,,
295,260252_1G74240,n,n,,
296,260367_1G69760,n,n,,
297,260371_1G69690,n,n,,
298,260454_1G72310,n,n,,
299,260602_1G55920,n,n,,
300,260613_1G53380,n,n,,
301,260637_1G62380,Y,n,,
302,260651_1G32460,n,n,,
303,260666_1G19300,n,n,,
304,260784_1G06180,n,n,,
305,260798_1G78280,n,n,,
306,260800_1G78240,n,n,,
307,260814_1G43710,n,n,,
308,260968_1G12250,n,n,,
309,261060_1G17340,n,n,,
310,261192_1G32870,n,n,,
311,261256_1G05760,n,n,,
312,261308_1G48480,n,n,,
313,261387_1G05410,n,n,,
314,261464_1G07740_1G07730,n,n,,
315,261509_1G71740,n,n,,
316,261636_1G50110,Y,n,,
317,261745_1G08500,Y,n,,
318,261772_1G76240,Y,n,,
319,261803_1G30500,n,n,,
320,261817_1G08180,n,n,,
321,261825_1G11545,n,n,,
322,261826_1G11580,n,n,,
323,261863_1G50630,n,n,,
324,261954_1G64510,n,n,,
325,261991_1G33700,n,n,,
326,262039_1G80050,n,n,,
327,262131_1G02900,n,n,,
328,262153_at_no_match,n,n,,
329,262197_1G53910,n,n,,
330,262230_1G68560,n,n,,
331,262231_1G68740,n,n,,
332,262360_1G73080,n,n,,
333,262406_1G34670,n,n,,
334,262414_1G49430,n,n,,
335,262525_1G17060,n,n,,
336,262565_1G34320,n,n,,
337,262609_1G13930,n,n,,
338,262644_1G62710,n,Y,,
339,262653_1G14130,n,n,,
340,262703_1G16510,n,n,,
341,262728_1G75820,n,n,,
342,262796_1G20850,n,n,,
343,262805_1G20900,n,n,,
344,262813_1G11670,n,n,,
345,262844_1G14890,n,n,,
346,262868_1G64980,n,n,,
347,262887_1G14780,n,n,,
348,262905_1G59730,n,n,,
349,262915_1G59940,n,n,,
350,262933_1G65840,n,n,,
351,262958_1G54410,n,n,,
352,263005_1G54540,n,n,,
353,263136_1G78580,n,n,,
354,263180_1G05620,n,n,,
355,263184_1G05560,n,n,,
356,263227_1G30750,n,Y,,
357,263284_2G36100,n,Y,,
358,263437_2G28670,n,n,,
359,263438_2G28660,n,n,,
360,263439_2G28650,n,n,,
361,263545_2G21560,n,n,,
362,263546_2G21550,n,n,,
363,263560_s_2G15370_2G15350,n,n,,
364,263629_2G04850,n,n,,
365,263632_2G04795,n,n,,
366,263653_1G04310,Y,Y,,
367,263688_1G26920,n,n,,
368,263707_1G09300,n,n,,
369,263737_1G60010,n,n,,
370,263976_2G42700,n,n,,
371,264071_2G27920,n,n,,
372,264191_1G54730,n,Y,,
373,264250_1G78680,n,n,,
374,264315_1G70370,Y,Y,,
375,264342_1G12080,n,n,,
376,264372_1G11840,n,n,,
377,264493_1G27440,n,n,,
378,264497_1G30840,n,n,,
379,264561_1G55810,n,n,,
380,264573_1G05310,n,n,,
381,264637_1G65560,n,n,,
382,264655_1G09070,n,n,,
383,264767_1G61380,n,n,,
384,264868_1G24090,n,n,,
385,264909_2G17300,Y,n,,
386,264956_1G76990,n,n,,
387,265076_1G55490,n,n,,
388,265161_1G30900,n,n,,
389,265244_2G43018_2G43020,n,n,,
390,265246_2G43050,n,n,,
391,265277_2G28410,Y,n,,
392,265333_2G18350,n,n,,
393,265350_2G22620,n,n,,
394,265443_2G20750,Y,n,,
395,265444_s_2G37180_2G37170,n,n,,
396,265463_2G37090,n,n,,
397,265530_2G06050,n,n,,
398,265645_2G27370,n,Y,,
399,265664_2G24420,n,Y,,
400,265720_2G40110,n,n,,
401,265846_2G35770,n,n,,
402,265948_2G19590,Y,n,,
403,266140_2G28120,n,n,,
404,266170_2G39050,n,n,,
405,266253_2G27840,n,n,,
406,266325_2G46630,n,n,,
407,266353_2G01520,n,n,,
408,266356_2G32300,n,Y,,
409,266391_2G41290,n,n,,
410,266413_2G38740,n,n,,
411,266458_2G47710,n,n,,
412,266485_2G47630,n,n,,
413,266578_2G23910,n,n,,
414,266596_2G46150,Y,n,,
415,266618_2G35480,n,n,,
416,266702_2G19860,n,n,,
417,266713_2G46760,n,n,,
418,266716_2G46820,n,n,,
419,266824_2G22800,n,n,,
420,266893_2G26070,Y,n,,
421,266905_2G34560,n,n,,
422,266920_2G45750,n,n,,
423,266921_2G45970,n,n,,
424,266978_2G39430,n,n,,
425,266992_2G39200,n,n,,
426,267035_2G38400,n,n,,
427,267053_s_2G38380_2G38390,n,n,,
428,267093_2G38170,n,n,,
429,267094_2G38080,n,n,,
430,267101_2G41480,n,n,,
431,267112_2G14750,n,n,,
432,267123_2G23560,n,n,,
433,267165_2G37710,n,n,,
434,267233_s_2G43910_2G43920,n,n,,
435,267276_2G30130,n,n,,
436,267307_2G30210,n,Y,,
437,267318_2G34770,n,n,,
438,267337_2G39980,Y,n,,
439,267343_2G44260,n,n,,
440,267382_2G44300,n,n,,
441,267418_2G35000,n,n,,
442,267477_2G02710,n,n,,
443,267493_2G30400,n,n,,
444,267518_2G30500,n,n,,
445,267523_2G30600,n,n,,
446,267550_2G32800,n,n,,
447,267591_2G39705,n,n,,
,,,,,
,,,,,
